code	label	tree
E771	E771 (Défauts de la dégradation des glycoprotéines)	ICD10FR (code CIM10)-Chap4 (MALADIES ENDOCRINES ,NUTRITION ,METABOLISME ET TR IMMUNITAIRE)-E77 (ANOM. DU METAB. DES GLYCOPROTEINES)-E771 (Défauts de la dégradation des glycoprotéines)
F123	F123 (Troubles mentaux et du comportement liés à l'utilisation de dérivés du cannabis : syndrome de sevrage)	ICD10FR (code CIM10)-Chap5 (TROUBLES MENTAUX)-F12 (Tbl. MENT. DUS A DERIVES DU CANNABIS)-F123 (Troubles mentaux et du comportement liés à l'utilisation de dérivés du cannabis : syndrome de sevrage)
V832	V832 (( CIM10 : V83.2 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-V83 (V83)-V832 (( CIM10 : V83.2 ))
X426	X426 (( CIM10 : X42.6 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-X42 (X42)-X426 (( CIM10 : X42.6 ))
Y118	Y118 (( CIM10 : Y11.8 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-Y11 (Y11)-Y118 (( CIM10 : Y11.8 ))
Z613	Z613 (Difficultés liées aux événements résultant de la perte de l'estime de soi pendant l'enfance)	ICD10FR (code CIM10)-Chap21 (FACTEURS INFLUANT L'ETAT DE SANTE)-Z61 (DIFF. LIEES A UNE ENFANCE MALHEUREUSE)-Z613 (Difficultés liées aux événements résultant de la perte de l'estime de soi pendant l'enfance)
M8913	M8913 (Arrêt épiphysaire   Avant bras)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M89 (MAL. OSSEUSES, NCA)-M8913 (Arrêt épiphysaire   Avant bras)
M969	M969 (Affection du système ostéo articulaire et des muscles après un acte à visée diagnostique et thérapeutique, sans précision)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M96 (AFF. DU SYST. OSTEO ARTIC. ET DES MUSCLES NCA, APRES UN ACTE)-M969 (Affection du système ostéo articulaire et des muscles après un acte à visée diagnostique et thérapeutique, sans précision)
G468	G468 (Autres syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires (I60 I67))	ICD10FR (code CIM10)-Chap6 (MALADIES DU SYSTEME NERVEUX)-G46 (SYND. VASC. CEREB. AVEC MAL. CEREBROVASC.)-G468 (Autres syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires (I60 I67))
B06	B06 (RUBEOLE)	ICD10FR (code CIM10)-Chap1 (MALADIES INFECTIEUSES ET PARASITAIRES)-B06 (RUBEOLE)
M4638	M4638 (Infection (pyogène) d'un disque intervertébral   Région sacrée et sacro coccygienne)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M46 (SPONDYLOPATHIES INFL., NCA)-M4638 (Infection (pyogène) d'un disque intervertébral   Région sacrée et sacro coccygienne)
M9003	M9003 (Tuberculose osseuse (A18.0)   Avant bras)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M90 (OSTEOPATHIE AVEC MAL. CL. AILL.)-M9003 (Tuberculose osseuse (A18.0)   Avant bras)
B82	B82 (PARASITOSE INTEST., SAI)	ICD10FR (code CIM10)-Chap1 (MALADIES INFECTIEUSES ET PARASITAIRES)-B82 (PARASITOSE INTEST., SAI)
M430	M430 (Spondylolyse)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M43 (DORSOPATHIES AVEC DEFORM., NCA)-M430 (Spondylolyse)
F101	F101 (Troubles mentaux et du comportement liés à l'utilisation d'alcool : utilisation nocive pour la santé)	ICD10FR (code CIM10)-Chap5 (TROUBLES MENTAUX)-F10 (Tbl. MENT. DUS A ALCOOL)-F101 (Troubles mentaux et du comportement liés à l'utilisation d'alcool : utilisation nocive pour la santé)
Z123	Z123 (Examen spécial de dépistage de tumeur du sein)	ICD10FR (code CIM10)-Chap21 (FACTEURS INFLUANT L'ETAT DE SANTE)-Z12 (DEPIST. DES TUM.)-Z123 (Examen spécial de dépistage de tumeur du sein)
M0180	M0180 (Arthrite au cours d'autres maladies infectieuses et parasitaires classées ailleurs   Sièges multiples)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M01 (ARTHRITES INFECT. DIRECTES AVEC MAL. INFECT. ET PARASIT. CL.)-M0180 (Arthrite au cours d'autres maladies infectieuses et parasitaires classées ailleurs   Sièges multiples)
C912	C912 (Leucémie lymphoïde subaiguë)	ICD10FR (code CIM10)-Chap2 (TUMEURS)-C91 (LEUCEMIE LYMPHOIDE)-C912 (Leucémie lymphoïde subaiguë)
V942	V942 (( CIM10 : V94.2 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-V94 (V94)-V942 (( CIM10 : V94.2 ))
B352	B352 (Teigne de la main)	ICD10FR (code CIM10)-Chap1 (MALADIES INFECTIEUSES ET PARASITAIRES)-B35 (DERMATOPHYTOSE)-B352 (Teigne de la main)
